index,stars
0,3.81
1,4.36
2,3.59
3,2.76
4,2.69
5,3.84
6,4.1
7,3.92
8,4.06
9,4
10,4.25
11,3.28
12,3.6
13,4.11
14,3.87
15,4
16,2.9
17,3.49
18,3.48
19,4.25
20,4.75
21,3.85
22,3.67
23,3.36
24,3.36
25,3.48
26,4.42
27,4.58
28,3.47
29,4.3
30,3.99
31,4.2
32,3.48
33,2.9
34,4.38
35,3.68
36,2.9
37,3.51
38,4.54
39,2.33
40,4.26
41,4.15
42,3.43
43,3.85
44,3.84
45,3.85
46,3.13
47,4.56
48,3.67
49,3.95
50,3.33
51,3.98
52,3.85
53,3.82
54,4.81
55,4.06
56,3.58
57,3.61
58,3.81
59,4.23
60,4.58
61,4.35
62,3.43
63,4.8
64,3.48
65,2.86
66,2.28
67,4.6
68,3.6
69,3.77
70,3
71,5
72,3.8
73,3.91
74,3
75,3.6
76,4.4
77,3.53
78,3.73
79,4.07
80,4.06
81,3.31
82,4.41
83,3.8
84,3.95
85,3.56
86,5
87,3.6
88,5
89,3.55
90,4.75
91,3.88
92,2.83
93,4.59
94,3.62
95,3.62
96,2.13
97,3.91
98,4.71
99,3.16
100,4.01
101,3.87
102,4.42
103,4.17
104,4.41
105,4.39
106,4.43
107,3.98
108,3.52
109,3.47
110,3.97
111,3.71
112,3.23
113,3.93
114,3.1
115,4.43
116,3.4
117,3.98
118,4.36
119,4.67
120,4.09
121,3.64
122,3.43
123,4.07
124,3.63
125,3.18
126,2.6
127,4
128,3.84
129,3.39
130,4.62
131,4.31
132,3.95
133,3.95
134,4.25
135,3.15
136,2.66
137,5
138,4.34
139,3.75
140,3.4
141,5
142,4.75
143,3.5
144,3.81
145,3.43
146,3.84
147,4.12
148,3.66
149,4.12
150,3.64
151,3
152,3.15
153,4.13
154,3.36
155,4.18
156,4.35
157,3.62
158,4.44
159,4
160,4.03
161,3.8
162,3.65
163,3.62
164,4.22
165,3.75
166,3.8
167,3.95
168,4.06
169,4.04
170,4.64
171,3.77
172,5
173,3.68
174,4.35
175,4.04
176,4.24
177,3.76
178,3.9
179,3.59
180,3.87
181,3.6
182,4.38
183,3.89
184,4.13
185,3.36
186,5
187,3.84
188,2.99
189,4.59
190,2.95
191,5
192,3.93
193,4.21
194,2.42
195,3.7
196,3.5
197,3.07
198,4.2
199,3.48
200,3.31
201,3.63
202,3.41
203,4.69
204,5
205,4.7
206,4.14
207,4.29
208,3.93
209,2.65
210,4.42
211,4.2
212,3.52
213,4.24
214,3.69
215,3.89
216,3.93
217,3
218,4.06
219,4.92
220,4.07
221,3.25
222,3.75
223,3.74
224,3.1
225,3.88
226,4.35
227,3.84
228,4.1
229,5
230,3.31
231,4.19
232,4.2
233,4.7
234,4.69
235,3.93
236,3
237,3.47
238,4.28
239,4.01
240,3.81
241,3.71
242,4.19
243,3.68
244,3.49
245,4.53
246,4.6
247,3.7
248,3.62
249,4
250,4.13
251,4.2
252,4.5
253,3
254,3.24
255,3.75
256,4.97
257,3.19
258,4.5
259,3.65
260,3.7
261,3.81
262,3.36
263,3.86
264,3.87
265,3.46
266,4.05
267,3.91
268,3.57
269,4.35
270,3.36
271,4.26
272,4.13
273,3.99
274,4
275,5
276,3.67
277,4.79
278,5
279,3.69
280,3.93
281,3.82
282,3.95
283,4.26
284,4.47
285,3.36
286,4.22
287,3.9
288,4.01
289,3.56
290,3.72
291,1.77
292,3.85
293,3.36
294,3.23
295,3.32
296,4.75
297,3.77
298,3.92
299,4.44
300,3.89
301,4.18
302,3.43
303,3.86
304,4.26
305,3.61
306,4.04
307,4.18
308,3.77
309,4.42
310,4.19
311,3.4
312,4.21
313,4
314,3.28
315,3.71
316,4.44
317,3.33
318,2.93
319,3.81
320,4
321,4.21
322,4.34
323,3.68
324,3.93
325,4
326,4.27
327,3.8
328,3.97
329,3.57
330,5
331,3.55
332,3.78
333,3.68
334,3
335,3.35
336,3.8
337,3.57
338,3.9
339,3.98
340,4.12
341,2.89
342,3.86
343,4.33
344,3.74
345,4.29
346,3.17
347,3.19
348,3.3
349,3.89
350,3.86
351,3.53
352,2.91
353,4.18
354,1.43
355,3.71
356,4.22
357,5
358,2.58
359,3.63
360,3.18
361,3.73
362,3.46
363,4.08
364,5
365,5
366,4.09
367,2.89
368,2.88
369,4
370,3.6
371,3.73
372,3.42
373,3.6
374,4.98
375,3.07
376,3.83
377,4.56
378,4.46
379,4.1
380,3.46
381,3.73
382,4.55
383,4.02
384,3.64
385,3.34
386,2.3
387,3.34
388,3.93
389,4.14
390,3.87
391,4.24
392,4.04
393,4.09
394,4.6
395,4.8
396,4.06
397,3.61
398,4.25
399,3.67
400,3.88
401,3
402,3.43
403,3.43
404,3.5
405,3.48
406,3.48
407,3.95
408,3.92
409,4.02
410,3.6
411,3.26
412,3.69
413,3.56
414,4.18
415,3.97
416,3.4
417,5
418,4.67
419,3.52
420,4.17
421,4.32
422,1
423,3.38
424,3.92
425,3.6
426,4.11
427,1
428,4.44
429,4.14
430,3.61
431,3.68
432,3.55
433,4.23
434,2.63
435,3.48
436,2.79
437,4.19
438,3.29
439,4
440,4.16
441,3.23
442,2.33
443,4.25
444,4.07
445,3.88
446,3.57
447,4.17
448,4.35
449,2.73
450,3.82
451,1.86
452,4.12
453,3.89
454,3.85
455,3.98
456,4.01
457,4.06
458,3.64
459,2.47
460,4.39
461,3.36
462,4.49
463,4.06
464,3.83
465,3.76
466,4.85
467,3
468,4.83
469,3.85
470,3.15
471,2.4
472,3
473,4.26
474,4.41
475,4.2
476,3.63
477,3.71
478,4.09
479,4.33
480,2.75
481,2
482,3.71
483,4.45
484,3.46
485,4.36
486,1.85
487,3.6
488,4.67
489,4.28
490,4.56
491,3.82
492,4
493,4.21
494,3.8
495,3.86
496,3.71
497,4.57
498,3.86
499,4.73
500,3.31
501,3.42
502,3.88
503,4.4
504,4.02
505,4.69
506,5
507,2.9
508,3.79
509,5
510,3.45
511,4.82
512,3.64
513,3.64
514,3.77
515,3.91
516,2.14
517,4.17
518,2.67
519,5
520,4.72
521,3.72
522,3.85
523,4.13
524,2.82
525,3.81
526,4.15
527,3.11
528,4.44
529,3.08
530,3.51
531,3.84
532,4.18
533,4.39
534,4.38
535,4.11
536,3.91
537,3
538,4.65
539,5
540,3.74
541,4.09
542,3.58
543,2.8
544,3.5
545,4.69
546,4.31
547,5
548,3.96
549,3.21
550,3.89
551,3.69
552,4.11
553,3.77
554,3.48
555,3.89
556,3.5
557,3.71
558,3.81
559,4.56
560,3.92
561,4
562,5
563,3.36
564,4.41
565,4.6
566,4.12
567,3.92
568,4.35
569,3.94
570,3.34
571,1
572,3.68
573,3.15
574,3.36
575,3.13
576,3.52
577,3.78
578,2
579,4.33
580,3.91
581,4.43
582,4.42
583,3.36
584,2.88
585,3.84
586,3.78
587,4.12
588,3.81
589,3.38
590,3.73
591,2.67
592,4.29
593,3.46
594,3.8
595,3.66
596,4.18
597,2.91
598,2.88
599,3.97
600,3.47
601,1
602,4.01
603,3.67
604,4.35
605,3.87
606,2.24
607,3.68
608,4.41
609,3.47
610,2.59
611,3
612,3.92
613,3.93
614,4.75
615,4.38
616,4.1
617,4.55
618,4
619,4.01
620,3.89
621,4.61
622,4.96
623,3.67
624,3
625,4.3
626,3.67
627,3.43
628,3.57
629,4.05
