index,stars
0,-1.0765
1,0.0345
2,-0.2554
3,-0.265
4,0.3726
5,0.0248
6,-0.1394
7,-0.4196
8,0.218
9,-0.0718
10,0.3823
11,-0.6031
12,1.0488
13,-0.0621
14,0.305
15,1.0199
16,-0.4292
17,0.3436
18,-1.4436
19,0.73
20,0.0055
21,-0.1877
22,0.0538
23,-0.236
24,0.0731
25,0.305
26,0.218
27,-0.352
28,0.247
29,0.276
30,-0.7191
31,1.2131
32,-0.1587
33,-0.0428
34,0.0345
35,-0.6031
36,-0.1104
37,-0.0815
38,-1.1828
39,0.4982
40,-0.2457
41,0.6431
42,-0.0525
43,0.1118
44,-0.1877
45,0.6817
46,1.2131
47,1.0585
48,-0.1394
49,0.0634
50,0.2567
51,0.1504
52,0.2567
53,0.1214
54,0.0924
55,-0.1394
56,-0.7191
57,0.218
58,0.0731
59,-1.1635
60,0.0731
61,-2.1005
62,0.5272
63,1.2131
64,-0.0525
65,-0.0718
66,0.1311
67,-0.9606
68,0.3533
69,-2.6512
70,-0.5742
71,0.73
72,0.4016
73,-2.458
74,0.0828
75,-0.207
76,0.3919
77,-0.0332
78,-0.1587
79,1.2131
80,0.3726
81,0.2277
82,-0.2457
83,-2.3324
84,0.2567
85,-0.4003
86,0.6624
87,-0.4196
88,0.247
89,-0.1104
90,0.1794
91,0.6528
92,0.2953
93,0.3823
94,-0.265
95,-0.0235
96,-1.8783
97,-0.0525
98,-1.0668
99,-0.4003
100,0.4789
101,0.1311
102,1.2131
103,-0.4196
104,0.5368
105,-0.3713
106,1.2131
107,0.0924
108,0.3243
109,0.0538
110,0.0538
111,0.5755
112,0.0151
113,-0.294
114,-0.0911
115,0.8749
116,-0.2264
117,-1.2021
118,-0.2457
119,-0.7384
120,0.1311
121,-1.2311
122,-0.1684
123,0.0345
124,0.0345
125,-0.5065
126,0.3436
127,-0.2457
128,-0.0042
129,-0.4292
130,-0.0718
131,0.0151
132,0.7011
133,0.7397
134,0.3726
135,-0.3713
136,-0.9992
137,0.4306
138,-0.1394
139,-0.0718
140,-0.3037
141,-0.0621
142,1.2131
143,0.4402
144,-1.0379
145,-0.7191
146,0.6141
147,0.3339
148,0.9716
149,-0.5162
150,0.0538
151,0.2856
152,0.4209
153,0.3243
154,-0.1104
155,0.0248
156,-0.4582
157,-0.6418
158,0.0731
159,-0.1104
160,-0.6225
161,0.4885
162,-0.1684
163,1.0199
164,0.0055
165,-0.0718
166,-0.7191
167,0.4402
168,0.1214
169,0.1504
170,0.4982
171,-0.1781
172,0.305
173,0.189
174,1.2131
175,0.5851
176,-1.3663
177,-0.294
178,-0.9316
179,-0.265
180,-0.1298
181,0.1407
182,-0.5162
183,-0.1781
184,-0.0718
185,0.0924
186,-0.0235
187,0.0634
188,0.7107
189,0.0055
190,0.8943
191,-0.207
192,-0.1201
193,-1.4243
194,0.4209
195,-0.4292
196,0.305
197,0.247
198,-0.1298
199,1.0199
200,0.4016
201,0.3436
202,0.5368
203,1.2131
204,0.8943
205,1.0971
206,-0.3713
207,0.2373
208,-0.207
209,-0.7191
210,0.73
211,-1.405
212,-0.265
213,0.5561
214,0.2856
215,-0.0428
216,-0.1684
217,0.3436
218,0.0248
219,-0.3713
220,-0.7191
221,0.0924
222,0.5658
223,0.6914
224,0.4402
225,0.1504
226,0.2084
227,0.2084
228,0.6721
229,0.5658
230,-0.0332
231,-0.3713
232,0.305
233,-0.1587
234,0.0345
235,0.0634
236,0.0634
237,0.6914
238,0.0538
239,-0.0621
240,1.2131
241,0.7204
242,0.0055
243,0.6721
244,-0.7191
245,-0.0525
246,0.5272
247,0.4499
248,-0.1491
249,-0.1684
250,0.2277
251,0.0248
252,0.4016
253,-0.236
254,-0.5935
255,0.4499
256,-0.2747
257,0.1214
258,0.2373
259,0.5851
260,0.0151
261,-1.1248
262,0.276
263,0.305
264,0.247
265,0.1794
266,0.3339
267,0.2373
268,0.4595
269,-0.6418
270,0.788
271,-0.893
272,1.2131
273,0.1987
274,0.4885
275,0.247
276,0.0055
277,0.1504
278,-2.6512
279,0.5465
280,-0.6225
281,-0.1587
282,0.6721
283,0.0151
284,-0.1201
285,-0.4969
286,0.1407
287,0.5658
288,1.2131
289,0.1214
290,0.247
291,0.0731
292,0.0538
293,0.1214
294,-0.9219
295,1.2131
296,0.218
297,-0.0911
298,0.2567
299,0.7783
300,-0.0235
301,-0.5935
302,0.0924
303,-0.0911
304,0.4402
305,-0.207
306,0.4209
307,0.305
308,-0.207
309,-0.3713
310,0.305
311,0.247
312,-0.0718
313,-0.4582
314,0.0924
315,0.218
316,0.3533
317,0.5658
318,0.189
319,0.4016
320,-0.236
321,-0.0138
322,-0.1298
323,0.1021
324,0.5851
325,-0.0428
326,0.4595
327,0.4885
328,-0.3326
329,0.2567
330,0.0151
331,0.2277
332,-0.1008
333,0.4595
334,0.247
335,0.3726
336,0.4306
337,0.73
338,0.7011
339,-0.236
340,0.4692
341,0.305
342,-0.9606
343,0.1987
344,0.0151
345,-0.0138
346,-0.0138
347,0.1407
348,0.4112
349,0.0538
350,0.0538
351,-0.3713
352,0.218
353,0.1987
354,0.3533
355,0.8943
356,0.218
357,0.6624
358,-0.1008
359,-0.0718
360,-0.0815
361,-0.236
362,0.1601
363,-0.5838
364,-0.1394
365,0.4499
366,0.4789
367,0.73
368,0.1794
369,0.4209
370,-0.7191
371,0.0634
372,0.7977
373,1.0102
374,-0.2747
375,-0.9123
376,-0.0911
377,-0.3133
378,-0.1201
379,0.6528
