uid,bid,stars
21301,5854,2
29541,8956,5
38724,11364,5
8981,56,5
12362,739,4
37510,2716,5
24697,11593,2
11128,11089,5
18673,1410,4
16350,11313,4
21977,6837,5
22520,108,3
17308,218,5
12525,10233,1
4070,579,4
5206,11492,5
11447,11722,2
19730,2648,5
1472,9686,3
36162,1919,4
28959,4913,5
5828,130,4
4878,8850,4
11394,8583,2
13820,11836,5
13979,2635,5
21542,3296,4
4036,10273,3
13037,6664,1
27208,5018,4
31188,11108,4
25805,1205,5
906,2529,4
17829,6070,4
27385,6329,4
7674,1360,4
23543,10574,5
16540,3913,1
16718,317,2
24857,3493,5
30497,6033,4
18151,7256,4
23847,4193,4
6495,6121,3
13128,8514,5
34363,8392,5
26604,3312,5
40058,10110,5
3266,11691,5
16327,408,3
36258,11313,5
10534,11941,4
23309,9304,3
27658,10518,3
7349,3993,5
21489,9368,3
39565,9845,2
6319,11206,2
16134,9433,1
36076,569,5
40249,3438,4
24430,6844,1
14218,8849,5
40844,8276,5
8042,1871,5
12309,3728,3
25355,1195,5
31355,5055,4
36480,3368,5
2705,10161,1
30990,8411,5
20036,10074,3
24115,11427,5
18861,7369,1
38194,1020,4
30877,5740,4
19786,5022,2
20057,10119,3
12312,8395,4
23905,5229,5
18454,6530,4
32682,4313,1
11178,2726,3
25497,11679,2
15859,11345,5
19319,6693,5
29804,934,5
24325,5914,5
13852,11418,2
29143,8325,4
26638,8506,3
10562,4763,5
27557,11849,3
12940,57,4
33128,3410,3
19900,11603,4
14404,8769,1
33516,11240,2
17954,10872,1
12091,11033,5
20427,6264,5
22237,2150,5
32664,3221,5
21998,3936,4
27765,7553,5
27094,2935,4
32533,10737,5
22346,10936,3
23888,11670,3
34491,9204,4
35379,11556,3
38380,6181,5
38472,10903,3
13285,10241,3
38418,4308,3
38385,9627,4
11518,639,4
5408,6728,5
11178,1689,3
22181,8214,5
15103,6823,4
2065,11142,1
12027,9402,4
2966,2891,5
13986,5313,2
41449,294,3
4790,9557,5
27020,11114,2
23379,5089,4
11447,9934,3
12309,4314,4
26159,659,3
38036,3115,5
26825,2902,4
5781,10379,4
12916,9764,4
16432,11120,1
29572,4054,5
21842,3287,4
12309,5369,3
20384,4401,3
20360,828,4
5861,106,5
13294,9483,5
26938,3162,2
28146,8264,4
30185,8884,5
11904,3410,3
32412,8031,3
6299,6754,4
4272,4253,5
9030,2722,4
31222,4233,5
36381,3215,4
37980,1211,3
16357,7787,3
24229,8282,5
12640,9109,5
22178,5492,4
2906,8913,5
23866,832,2
41469,607,3
